品类组	品类	子品类	货号	评论内容	评论种类	一级分类	二级分类	三级分类
发饰	头饰	发圈	83459908	可可爱爱的小东西治愈自己的小情绪～	好评	外观与设计	款式设计	可爱
发饰	头饰	发圈	84657903	可可爱爱的小东西治愈自己的小情绪～	好评	外观与设计	款式设计	可爱
发饰	头饰	发圈	84664803	可可爱爱的小东西是精神食粮～	好评	外观与设计	款式设计	可爱
发饰	头饰	发圈	84664804	可可爱爱的小东西是精神食粮～	好评	外观与设计	款式设计	可爱
发饰	头饰	发束	84412901	还没用猫头牌牌就掉了	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	头饰	发圈	84812501	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	80989723	不错 结实划算。	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	头饰	发圈	84813302	下午买的，晚上发现发圈破了，不知道本来破的，还是店员让她剪吊牌弄破的，客服让我去原门店，今天我去的店很远，这么远，让我再跑一趟，简直了！图也晒不了，根本按不出来，真恶心，明摆着就是做做样子的！还有25年消费的积分全部清零，三福真的，做的太难看了！	差评	材质与成分	原材料质量	破洞
发饰	头饰	发圈	85192103	挺好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84790901	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85235201	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84240603	东西是坏的，寄回去换货了，真麻烦，明明是你们自己的东西有问题，换货运费还要我自己垫付，还要等那么多天，说什么收到货登记完才能退给我，能不能别发瑕疵品给我啊	差评	工艺与做工	其他工艺与做工	坏了
发饰	头饰	发束	83695619	东西是坏的，寄回去换货了，真麻烦，明明是你们自己的东西有问题，换货运费还要我自己垫付，还要等那么多天，说什么收到货登记完才能退给我，能不能别发瑕疵品给我啊	差评	工艺与做工	其他工艺与做工	坏了
发饰	头饰	橡巾	39577301	稍微用力拉一下就断了	差评	工艺与做工	粘合或结构牢固性	断裂
发饰	头饰	发圈	85214001	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84997502	我能说我买了没几天就坏了吗？无语了，一个二十几块钱，绑第二次里面松紧带就给断，也不知道怎么维修，这个价钱真的不值	差评	工艺与做工	粘合或结构牢固性	断绳或断筋
发饰	头饰	发圈	81781002	差拼！拿回来根本就和选的花色没有一个一样的。那你这么多选项拿来干嘛？拿来好看？我费心费力选了一阵，结果拿回来没有一个是我选的花色	差评	外观与设计	实物与宣传不符	与图片不符
发饰	头饰	橡巾	77000101	非常好用的皮筋	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	85151402	非常好用的皮筋	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	75276126	皮筋弹性很好	好评	功能与效果	弹性	弹性好
发饰	头饰	发圈	84807403	难用 还没用了毛掉了都	差评	材质与成分	材质表现	掉毛掉绒
发饰	头饰	发圈	84970204	袋子破商品瑕疵	差评	工艺与做工	细节质量	瑕疵
发饰	头饰	发圈	84807306	收到袋子破商品瑕疵	差评	工艺与做工	细节质量	瑕疵
发饰	头饰	发束	81864118	挺可爱的	好评	外观与设计	款式设计	可爱
发饰	头饰	发圈	84529601	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84788701	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85151507	不经用	差评	工艺与做工	粘合或结构牢固性	不结实
发饰	头饰	发束	84584501	很有创意这个发绳	好评	外观与设计	款式设计	有创意
发饰	头饰	橡巾	77000101	结实耐用	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	头饰	发圈	851543	挺喜欢的	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	85029001	好，不错，盘头发刚刚好。	好评	外观与设计	版型或尺寸	合身
发饰	头饰	发圈	81781074	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	橡巾	76752819	小清新很漂亮🤩	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84189911	柔软	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发圈	84838202	非常好用的发圈，每个颜色都买了一遍	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	发圈	84813303	手感很好，软软糯糯的	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发圈	84813303	手感很好，软软糯糯的	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发圈	84238407	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84238417	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85235201	颜色独特。手感柔软无论是绑头发，还是当手环都是不错的选择，	好评	外观与设计	颜色设计	颜色好看
发饰	头饰	发圈	85235201	颜色独特。手感柔软无论是绑头发，还是当手环都是不错的选择，	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	橡巾	85151102	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864111	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	83809201	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	84417304	好，好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	橡巾	77544713	商品收到了，物流很快，宝贝很喜欢。	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	83974804	很有质感	好评	材质与成分	材质质感或成分	质感好
发饰	头饰	发束	84415102	好看的	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84189959	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	852055	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	851543	好看  挺大  比文创店便宜  小心心也挺精致光滑	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	851543	好看  挺大  比文创店便宜  小心心也挺精致光滑	中评	外观与设计	版型或尺寸	版型或尺码大
发饰	头饰	发圈	851543	好看  挺大  比文创店便宜  小心心也挺精致光滑	好评	外观与设计	款式设计	精美
发饰	头饰	发圈	84189969	不仅起球 而且里面还是白色的线 特别明显无语	差评	材质与成分	材质表现	起球
发饰	头饰	发圈	84189969	不仅起球 而且里面还是白色的线 特别明显无语	差评	材质与成分	原材料质量	色纱或杂色
发饰	头饰	发圈	85154001	非常好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85192002	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发带	84701704	很靓，满意	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84189971	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	851728	质量挺好的，就是有点	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84189986	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	851543	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	83520703	实用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85154003	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85191702	很漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85260703	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	84923002	好漂亮的发圈	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	76752819	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	76752820	很好用	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	85135901	挺结实的	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	头饰	发圈	851728	虽然有掉几颗钻，但是不影响整体效果。	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	头饰	橡巾	84417503	质量差	差评	工艺与做工	其他工艺与做工	质量或做工差
发饰	头饰	橡巾	36373701	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85305201	非常之好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84657901	超级好看，还很便宜	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85000002	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85207002	好用。	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85207002	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	83974912	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85117701	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85128201	非常喜欢好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85128204	非常喜欢好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84825504	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发带	84361306	很好用	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	83599206	颜色很漂亮，冬天很温暖，孩子喜欢。	好评	外观与设计	颜色设计	颜色好看
发饰	头饰	橡巾	83599206	颜色很漂亮，冬天很温暖，孩子喜欢。	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发圈	84664606	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	83458605	款式好看，性价比高！	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864156	挺好看，弹性好	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864156	挺好看，弹性好	好评	功能与效果	弹性	弹性好
发饰	头饰	发圈	84665506	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84961601	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发带	85037301	手感很好	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发带	85037303	手感好	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发圈	81781014	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84665808	非常好看，孩子超喜欢~	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84970302	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84664605	好看，妹妹很喜欢	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85127802	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	85290101	很可爱	好评	外观与设计	款式设计	可爱
发饰	头饰	发束	84674802	挺喜欢这些小饰品的	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	851728	闪闪的很漂亮	好评	外观与设计	款式设计	闪亮
发饰	头饰	发圈	85306601	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154401	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154402	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85151120	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864158	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84674804	发圈挺好看的。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84674807	小孩子也很喜欢这款发圈。	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	84979103	三福家的发圈质量还是很好的	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	850134	质量也很好。	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发束	85019802	扎高马尾很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84658101	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85117704	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85117703	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	414557	很好看啦	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864178	很好看啦	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85232601	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85155702	漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84189988	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	75276125	在鲅鱼圈万达三福门店买的魔镜乐园盲盒，因为商品质量问题打开里面是坏的，店铺一直不给解决，让顾客等了一个半月不解决，还让继续等待，也不给回话	差评	工艺与做工	其他工艺与做工	坏了
发饰	头饰	发圈	81781005	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	81781053	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	81781086	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84703806	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84703808	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	81781029	很不错，喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	84665806	不错，扎起来挺好看，扎的紧	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84665806	不错，扎起来挺好看，扎的紧	中评	工艺与做工	开合工艺	夹太紧
发饰	头饰	发圈	84238412	粘不紧 一下就掉了  性价比不高	差评	工艺与做工	粘合或结构牢固性	绑不紧
发饰	头饰	发束	85224508	女儿喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	85260716	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84808602	非常好看！	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84808601	实用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	851101	实用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85137001	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85137004	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154401	发圈挺好看的	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	77544740	质量不是一般的差，我拉一下直接断了弹到了我的手指上！那我花钱买一份这样垃圾的商品有啥用？？然后这个评论低下照片也无法上传！！！	差评	工艺与做工	其他工艺与做工	质量或做工差
发饰	头饰	橡巾	77544740	质量不是一般的差，我拉一下直接断了弹到了我的手指上！那我花钱买一份这样垃圾的商品有啥用？？然后这个评论低下照片也无法上传！！！	差评	工艺与做工	粘合或结构牢固性	断裂
发饰	头饰	橡巾	75276126	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	81781080	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85191602	发圈很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84674804	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发带	84361201	很好用。	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发带	84361203	很好用	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	发带	84361207	很好用。	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	83974912	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154003	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84984102	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85135901	质量不错 好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	85019803	好看，可以用来扎高马尾	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85191702	影响很可爱，拍照好看	好评	外观与设计	款式设计	可爱
发饰	头饰	橡巾	76752803	很好用	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	发圈	84665825	质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	橡巾	85135802	简约的发饰，珠子很亮，也不会搅头发，值得购买！	好评	外观与设计	款式设计	闪亮
发饰	头饰	橡巾	85135802	简约的发饰，珠子很亮，也不会搅头发，值得购买！	好评	功能与效果	佩戴舒适性	不勒
发饰	头饰	橡巾	83520703	东西质量好，服务态度也好。	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84665801	特别好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154401	新年发圈，很漂亮，质量也不错	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154401	新年发圈，很漂亮，质量也不错	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84665816	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	76752828	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84674111	颜色正，好看。弹力也不错。	好评	外观与设计	颜色设计	颜色好看
发饰	头饰	发圈	84674111	颜色正，好看。弹力也不错。	好评	功能与效果	弹性	弹性好
发饰	头饰	发圈	84979001	手感很好	好评	材质与成分	材质质感或成分	材质舒适
发饰	头饰	发圈	84665806	孩子自己选的，小清新很喜欢	好评	外观与设计	款式设计	潮流时尚或有设计感
发饰	头饰	橡巾	84417401	合适	好评	外观与设计	版型或尺寸	合身
发饰	头饰	橡巾	85136004	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	橡巾	85151611	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	84189964	脱线掉线	差评	工艺与做工	其他工艺与做工	质量或做工差
发饰	头饰	发圈	84189965	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84238404	不错，可爱	好评	外观与设计	款式设计	可爱
发饰	头饰	橡巾	85151139	质量挺好的	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84568903	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	81781026	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85088403	别人的好多头发在上面	差评	工艺与做工	细节质量	残次品
发饰	头饰	发圈	84665203	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84788707	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	77000101	这个发圈我买过几次了，质量很好，非常满意	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	85187903	收到了，喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	85305202	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	851543	很有分量	中评	功能与效果	佩戴舒适性	很重
发饰	头饰	发圈	85107805	好看好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85163102	好看好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85185604	好看好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85188202	好看好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85305201	好看好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84807306	颜值满分，质量也不错。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84807306	颜值满分，质量也不错。	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84825302	很漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	85151127	简约百搭，日常很需要，喜欢！	好评	外观与设计	款式设计	百搭
发饰	头饰	发圈	85154004	质量很好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	85192002	商品好，服务好！	好评	外观与设计	其他外观与设计	好
发饰	头饰	发束	84970301	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	84417504	扎了两天就松了，感觉质量没有之前的好了	差评	工艺与做工	粘合或结构牢固性	松动
发饰	头饰	发束	85224509	好漂亮的发绳	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84189978	大发圈，质量挺好的	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84984002	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	76752804	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	发圈	84674102	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	85151114	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	85151146	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	发圈	85260716	还不错，挺喜欢的	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	84807306	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85029001	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	85117703	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	橡巾	85151519	很好用，	好评	功能与效果	其他功能与效果反馈	效果好
发饰	头饰	发圈	84979002	质量很好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84989601	质量很好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84989602	质量很好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84189966	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	851728	妈妈很喜欢 非常闪！	好评	外观与设计	款式设计	闪亮
发饰	头饰	发圈	85155702	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	85224509	比我想象的粗一点大一点	中评			其他未归属类别
发饰	头饰	发束	85224509	比我想象的粗一点大一点	中评	外观与设计	版型或尺寸	版型或尺码大
发饰	头饰	发圈	84980001	很好看  款式喜欢	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85305201	很闪耀	好评	外观与设计	款式设计	闪亮
发饰	头饰	发圈	81781046	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84665812	质量不错	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84189981	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	橡巾	78189301	耐用	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	头饰	发圈	85188201	挺好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85188203	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84696201	好可爱	好评	外观与设计	款式设计	可爱
发饰	头饰	发圈	851728	挺好看的。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84674701	很漂亮的头饰	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84665822	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85134401	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84665817	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85176602	孩子非常喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	84238410	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84238417	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154003	挺好看的，就是蝴蝶结粘的不太结实	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85154003	挺好看的，就是蝴蝶结粘的不太结实	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	头饰	发圈	84665820	发圈质量太差，绕三圈里面的皮筋必断	差评	工艺与做工	粘合或结构牢固性	断绳或断筋
发饰	头饰	发圈	85232706	发圈特别好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85191601	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85191701	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84189957	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84584101	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84584102	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
